2020-11-30 19:04:48 - configuration_utils.py[line:281] - INFO: loading configuration file ./pretrained_model/chinese_roberta_wwm_ext\config.json
2020-11-30 19:04:48 - configuration_utils.py[line:319] - INFO: Model config BertConfig {
  "_num_labels": 2,
  "architectures": [
    "BertForMaskedLM"
  ],
  "attention_probs_dropout_prob": 0.1,
  "bad_words_ids": null,
  "bos_token_id": 0,
  "decoder_start_token_id": null,
  "directionality": "bidi",
  "do_sample": false,
  "early_stopping": false,
  "eos_token_id": 2,
  "finetuning_task": null,
  "hidden_act": "gelu",
  "hidden_dropout_prob": 0.1,
  "hidden_size": 768,
  "id2label": {
    "0": "LABEL_0",
    "1": "LABEL_1"
  },
  "initializer_range": 0.02,
  "intermediate_size": 3072,
  "is_decoder": false,
  "is_encoder_decoder": false,
  "label2id": {
    "LABEL_0": 0,
    "LABEL_1": 1
  },
  "layer_norm_eps": 1e-12,
  "length_penalty": 1.0,
  "max_length": 20,
  "max_position_embeddings": 512,
  "min_length": 0,
  "model_type": "bert",
  "no_repeat_ngram_size": 0,
  "num_attention_heads": 12,
  "num_beams": 1,
  "num_hidden_layers": 12,
  "num_return_sequences": 1,
  "output_attentions": false,
  "output_hidden_states": false,
  "output_past": true,
  "pad_token_id": 1,
  "pooler_fc_size": 768,
  "pooler_num_attention_heads": 12,
  "pooler_num_fc_layers": 3,
  "pooler_size_per_head": 128,
  "pooler_type": "first_token_transform",
  "prefix": null,
  "pruned_heads": {},
  "repetition_penalty": 1.0,
  "task_specific_params": null,
  "temperature": 1.0,
  "top_k": 50,
  "top_p": 1.0,
  "torchscript": false,
  "type_vocab_size": 2,
  "use_bfloat16": false,
  "vocab_size": 21128
}

2020-11-30 19:04:48 - modeling_utils.py[line:505] - INFO: loading weights file ./pretrained_model/chinese_roberta_wwm_ext\pytorch_model.bin
2020-11-30 19:05:06 - role_extract_train.py[line:97] - INFO: epoch 0, step 20, loss 59.2248, start_recall 0.4074, start_precise 0.0071, start_f1 0.0139, end_recall 0.0370, end_precise 0.0114, end_f1 0.0174
2020-11-30 19:05:19 - role_extract_train.py[line:97] - INFO: epoch 0, step 40, loss 43.9982, start_recall 0.1455, start_precise 0.0097, start_f1 0.0182, end_recall 0.0182, end_precise 0.0154, end_f1 0.0167
2020-11-30 19:05:33 - role_extract_train.py[line:97] - INFO: epoch 0, step 60, loss 36.3042, start_recall 0.0000, start_precise 0.0000, start_f1 nan, end_recall 0.0000, end_precise 0.0000, end_f1 nan
2020-11-30 19:05:46 - role_extract_train.py[line:97] - INFO: epoch 0, step 80, loss 21.6407, start_recall 0.0000, start_precise 0.0000, start_f1 nan, end_recall 0.0000, end_precise 0.0000, end_f1 nan
2020-11-30 19:05:59 - role_extract_train.py[line:97] - INFO: epoch 0, step 100, loss 16.0601, start_recall 0.0000, start_precise nan, start_f1 nan, end_recall 0.0000, end_precise nan, end_f1 nan
2020-11-30 19:06:13 - role_extract_train.py[line:97] - INFO: epoch 0, step 120, loss 11.6632, start_recall 0.0000, start_precise nan, start_f1 nan, end_recall 0.0000, end_precise nan, end_f1 nan
2020-11-30 19:06:26 - role_extract_train.py[line:97] - INFO: epoch 0, step 140, loss 10.2483, start_recall 0.0000, start_precise nan, start_f1 nan, end_recall 0.0000, end_precise nan, end_f1 nan
2020-11-30 19:06:40 - role_extract_train.py[line:97] - INFO: epoch 0, step 160, loss 9.1860, start_recall 0.0000, start_precise nan, start_f1 nan, end_recall 0.0000, end_precise nan, end_f1 nan
2020-11-30 19:06:53 - role_extract_train.py[line:97] - INFO: epoch 0, step 180, loss 8.8669, start_recall 0.0000, start_precise nan, start_f1 nan, end_recall 0.0000, end_precise nan, end_f1 nan
2020-11-30 19:07:07 - role_extract_train.py[line:97] - INFO: epoch 0, step 200, loss 8.6850, start_recall 0.0000, start_precise nan, start_f1 nan, end_recall 0.0000, end_precise nan, end_f1 nan
2020-11-30 19:07:20 - role_extract_train.py[line:97] - INFO: epoch 0, step 220, loss 8.0969, start_recall 0.0000, start_precise nan, start_f1 nan, end_recall 0.0000, end_precise nan, end_f1 nan
2020-11-30 19:07:34 - role_extract_train.py[line:97] - INFO: epoch 0, step 240, loss 8.5046, start_recall 0.0000, start_precise nan, start_f1 nan, end_recall 0.0000, end_precise nan, end_f1 nan
2020-11-30 19:07:47 - role_extract_train.py[line:97] - INFO: epoch 0, step 260, loss 7.0619, start_recall 0.0000, start_precise nan, start_f1 nan, end_recall 0.0000, end_precise nan, end_f1 nan
2020-11-30 19:08:01 - role_extract_train.py[line:97] - INFO: epoch 0, step 280, loss 6.5754, start_recall 0.0000, start_precise nan, start_f1 nan, end_recall 0.0000, end_precise nan, end_f1 nan
